video_id	公開日	尺秒	チャンネル	題名	判定理由	URL
eiLqpe30zLw	20260808	814	FP Driving	2011 LADA 2107 1.6 MT - POV TEST DRIVE	POV語(題名)	https://www.youtube.com/watch?v=eiLqpe30zLw
1CjCLZp7T00	20260808	768	CarterTetleton9545	Troopers 2026 “Into Darkness” | Lead Euph Headcam | Carter Tetleton	POV語(題名)	https://www.youtube.com/watch?v=1CjCLZp7T00
s7pFg5EYobo	20260808	971	BlurryPW	Blue Knights 2026 “The Sky Between” Lead Euphonium Finals Day Headcam - Josh Blair	POV語(題名)	https://www.youtube.com/watch?v=s7pFg5EYobo
lFscjpHinhM	20260807	512	【公式】ジェットコースター男™ (Roller Coaster Man)	【完全版】 ミステリーハウス on-ride POV (体験映像) / 岩山パークランド	POV語(題名)	https://www.youtube.com/watch?v=lFscjpHinhM
OppQgYc78UQ	20260807	638	_Tayp	Music City 2026 Xylophone Head Cam | Tayvin Moore | Venomorphosis	POV語(題名)	https://www.youtube.com/watch?v=OppQgYc78UQ
8ggSnFbWMXw	20260807	787	Winding Road Magazine	2026 Aston Martin Vantage S - POV Canyon Drive (Binaural Audio)	POV語(題名)	https://www.youtube.com/watch?v=8ggSnFbWMXw
dhzWZtM5dxk	20260807	782	WalkerPlaysT-Bone	Troopers 2026 Bass Trombone / Euphonium 2 Headcam	POV語(題名)	https://www.youtube.com/watch?v=dhzWZtM5dxk
N3P_huvFntE	20260807	798	VoteForSus	Gold DBC 2026 “Luminous” Mellophone Headcam - Teddy Wirick	POV語(題名)	https://www.youtube.com/watch?v=N3P_huvFntE
Jg5Kcw8q-3A	20260807	1078	Travis	Carolina Crown 2026 Tuba Headcam Travis Zuniga	POV語(題名)	https://www.youtube.com/watch?v=Jg5Kcw8q-3A
cr3d6eBCh_w	20260807	690	Studious Studios	Music city 2026  3rd Trumpet Head Cam - Carter Osborne	POV語(題名)	https://www.youtube.com/watch?v=cr3d6eBCh_w
q49ILV9jjpw	20260807	1248	SEAN McLaren P	791HP V8 Rocketship - 2025 Mercedes-AMG S63 E Performance POV Test Drive	POV語(題名)	https://www.youtube.com/watch?v=q49ILV9jjpw
PLt-u8Wx8e0	20260807	642	Reggie Williams	Genesis 2026 trumpet headcam	POV語(題名)	https://www.youtube.com/watch?v=PLt-u8Wx8e0
bMrA0Lf7E28	20260807	1783	LIM-CS POV	🔥apEX (28-14) 1.63 Rating | Dust2 POV | Aug 6, 2026	POV語(題名)	https://www.youtube.com/watch?v=bMrA0Lf7E28
qjf4JBq_DUI	20260807	1063	LIM-CS POV	🔥YEKINDAR (15-10) 1.61 Rating | avg 3.8K ELO | Dust2 POV | Jul 28, 2026	POV語(題名)	https://www.youtube.com/watch?v=qjf4JBq_DUI
XzbzXFrcSOY	20260807	1669	LIM-CS POV	SoloQ🔥donk (28-16) | avg 3.4K ELO | Anubis POV | Aug 7, 2026	POV語(題名)	https://www.youtube.com/watch?v=XzbzXFrcSOY
gr_ROAtE60Q	20260807	1464	LIM-CS POV	🔥kyousuke (27-16) 1.29 Rating | avg 3.5K ELO | Dust2 POV | Aug 6, 2026	POV語(題名)	https://www.youtube.com/watch?v=gr_ROAtE60Q
E7KER28HZ3Y	20260807	1683	LIM-CS POV	🔥donk new season 36Kills with suns1de | Mirage POV | Aug 6, 2026	POV語(題名)	https://www.youtube.com/watch?v=E7KER28HZ3Y
ZJCnRQxGaqo	20260807	3425	BG Academy	Streaming Live from my #GoPro	POV語(題名)	https://www.youtube.com/watch?v=ZJCnRQxGaqo
cJbWXw9JapI	20260807	3907	BG Academy	Streaming Live from my #GoPro	POV語(題名)	https://www.youtube.com/watch?v=cJbWXw9JapI
Tx8aj8TYyJk	20260806	815	frosty.marimba	Carolina Crown 2026 - Center Marimba Headcam	POV語(題名)	https://www.youtube.com/watch?v=Tx8aj8TYyJk
Hs0RtuscrPI	20260806	821	Winding Road Magazine	2026 Audi S6 Sportback e-tron - POV Night Drive (Binaural Audio)	POV語(題名)	https://www.youtube.com/watch?v=Hs0RtuscrPI
mB8WnV-sW5Y	20260806	1014	Travis	Carolina Crown 2026 Trumpet Headcam Angelina DeChristopher	POV語(題名)	https://www.youtube.com/watch?v=mB8WnV-sW5Y
n_MegxX3pKI	20260806	763	Philip Hudspeth	Phantom Regiment 2026 Contra Headcam “Bloodline” - Philip Hudspeth	POV語(題名)	https://www.youtube.com/watch?v=n_MegxX3pKI
E9lBfAICjhE	20260806	2356	NA	HIGHLIGHTS GONNA GO HARD 😭 |  ‪ @TrottahCS  POV | Troopers ESEA Match 8	POV語(題名)	https://www.youtube.com/watch?v=E9lBfAICjhE
cjwdV3Alj9s	20260806	839	Caleb Roybal	Phantom Regiment 2026 - Quad head cam - Caleb Roybal	POV語(題名)	https://www.youtube.com/watch?v=cjwdV3Alj9s
Rwxx4R9v5Sc	20260806	515	Bigfatdane	Bleeding Mandarins VS L'ura/Midnight falls BrM PoV	POV語(題名)	https://www.youtube.com/watch?v=Rwxx4R9v5Sc
KxyoZ33JKdo	20260806	852	Allison Roush	Bluecoats 2026 Guard Chest Cam	POV語(題名)	https://www.youtube.com/watch?v=KxyoZ33JKdo
26Lx9s5wrV8	20260805	735	simon from band	Sky Ryders 2026 Drumset Cam | Frankie Anguiano	楽器×カメラ(題名)	https://www.youtube.com/watch?v=26Lx9s5wrV8
kzb4N9Jha5k	20260805	909	Winding Road Magazine	2026 GMC Sierra Denali Duramax - POV Test Drive (Binaural Audio)	POV語(題名)	https://www.youtube.com/watch?v=kzb4N9Jha5k
dtDsMOJgjIU	20260805	693	Caden Smith	In The Center of the Ring (The Academy) - Drumset Headcam 08.04.26	POV語(題名)	https://www.youtube.com/watch?v=dtDsMOJgjIU
G8kDJS_jOFA	20260804	2092	NA	Instant Karma 😭 |  ‪@TrottahCS  POV | Troopers ESEA Match 7	POV語(題名)	https://www.youtube.com/watch?v=G8kDJS_jOFA
093eu2bZZ5Y	20260804	863	Felonious Foliage	Probably not Bluecoats 2026 @ Akron “HOLY NAME” pov	POV語(題名)	https://www.youtube.com/watch?v=093eu2bZZ5Y
k7d_Nf9tqXs	20260804	4474	Dozing Dragon Sleep Stories	You're the Blacksmith of Redwycke 🔨 A Cozy Medieval POV Story for Sleep	POV語(題名)	https://www.youtube.com/watch?v=k7d_Nf9tqXs
qbkAOrmaKoU	20260803	915	Winding Road Magazine	2027 Mercedes-Maybach S680 V12 - POV Test Drive (Binaural Audio)	POV語(題名)	https://www.youtube.com/watch?v=qbkAOrmaKoU
oZK2pMoVBXA	20260803	678	No name	"""A Side / B Side"" - Crossmen 2026 Upper Split Baritone 2 Headcam"	POV語(題名)	https://www.youtube.com/watch?v=oZK2pMoVBXA
dfJK9E6Sdj8	20260803	842	Davis Jay	Bluecoats 2026 Center Snare Cam - Davis Jay (Finals Week)	楽器×カメラ(題名)	https://www.youtube.com/watch?v=dfJK9E6Sdj8
MvKjYeUdzIo	20260802	484	【公式】ジェットコースター男™ (Roller Coaster Man)	スワンサイクル on-ride POV (乗車映像) / 岩手県立御所湖広域公園 (乗り物広場)	POV語(題名)	https://www.youtube.com/watch?v=MvKjYeUdzIo
8z2PLRV4Gy0	20260802	668	【公式】ジェットコースター男™ (Roller Coaster Man)	サイクル列車 on-ride POV (乗車映像) / 岩手県立御所湖広域公園 (乗り物広場)	POV語(題名)	https://www.youtube.com/watch?v=8z2PLRV4Gy0
KZyH385Bz9M	20260802	781	Winding Road Magazine	2027 Audi S6 Sportback e-tron - POV Test Drive (Binaural Audio)	POV語(題名)	https://www.youtube.com/watch?v=KZyH385Bz9M
2Tltyk1mxqY	20260802	591	Surfing With Noz	SURFING DREAM WAVES ALONG THE AUSTRALIAN COAST! (RAW POV)	POV語(題名)	https://www.youtube.com/watch?v=2Tltyk1mxqY
6J6WkZ-qMIQ	20260802	1612	Just Drive POV	2026 Hyundai Grandeur Hybrid POV drive	POV語(題名)	https://www.youtube.com/watch?v=6J6WkZ-qMIQ
w-52plH5JAI	20260801	886	Winding Road Magazine	2026 Ram 1500 Tungsten - POV Test Drive (Binaural Audio)	POV語(題名)	https://www.youtube.com/watch?v=w-52plH5JAI
RH6m2MVlvZo	20260801	1801	TheTopher	1991 Toyota MR-2 (2GR-FE V6 Swapped) - POV Ownership & Driving Impressions	POV語(題名)	https://www.youtube.com/watch?v=RH6m2MVlvZo
BcpSi8hhgCI	20260801	870	Luis Onofre	"Troopers 2026 ""Into Darkness"" Lead Euph/Trombone Headcam"	POV語(題名)	https://www.youtube.com/watch?v=BcpSi8hhgCI
mo60NYu2uyA	20260801	810	FP Driving	2017 Chevrolet Niva 1.7 MT - POV TEST DRIVE	POV語(題名)	https://www.youtube.com/watch?v=mo60NYu2uyA
wTQiO36ufzs	20260731	1135	Winding Road Magazine	2026 Chevrolet Silverado EV Trail Boss - POV Night Drive (Binaural Audio)	POV語(題名)	https://www.youtube.com/watch?v=wTQiO36ufzs
LhfIzGJvRTc	20260731	1497	SEAN McLaren P	2025 Mercedes-AMG S63 E Performance (791HP) POV Night Drive	POV語(題名)	https://www.youtube.com/watch?v=LhfIzGJvRTc
ePPh6WhZqFs	20260731	465	MrBlack	DJI Pocket 4P the Best Cinematic Camera for Travel & Night Vlogs?	楽器×カメラ(概要欄)	https://www.youtube.com/watch?v=ePPh6WhZqFs
RUkYyeJsN2I	20260731	2405	Just Drive POV	2026 Genesis GV80 Coupe V6 3.5T-GDi AWD POV drive	POV語(題名)	https://www.youtube.com/watch?v=RUkYyeJsN2I
1Y3ZWULEr7I	20260731	1691	Cyn	+24 Skyreach | Mistweaver Monk PoV (12.0.7)	POV語(題名)	https://www.youtube.com/watch?v=1Y3ZWULEr7I
oiIvukoYvfw	20260730	1314	TheTopher	2026 Lexus IS 350 F-Sport Design AWD - POV Two Topher Take	POV語(題名)	https://www.youtube.com/watch?v=oiIvukoYvfw
fBKOigxfsqQ	20260728	1086	Winding Road Magazine	2026 Mazda CX-5 - POV California Test Drive (Binaural Audio)	POV語(題名)	https://www.youtube.com/watch?v=fBKOigxfsqQ
R_krFhY4MJU	20260727	482	www.ukrides.info	La Souris + POV	POV語(題名)	https://www.youtube.com/watch?v=R_krFhY4MJU
qxqsEqpjVrE	20260727	745	Winding Road Magazine	2026 Volvo EX90 Plus Single Motor - POV Test Drive (Binaural Audio)	POV語(題名)	https://www.youtube.com/watch?v=qxqsEqpjVrE
76lK9uwh_54	20260727	2020	Thundyclaps	Seat of the Triumvirate +21 Prot Warrior POV	POV語(題名)	https://www.youtube.com/watch?v=76lK9uwh_54
G-0EHbjmgDk	20260727	1497	Just Drive POV	2026 Hyundai Kona 1.6T AWD Black POV night drive	POV語(題名)	https://www.youtube.com/watch?v=G-0EHbjmgDk
MSaUPgxeqoE	20260726	910	【公式】ジェットコースター男™ (Roller Coaster Man)	スーパーキャメルコースター on-ride POV (乗車映像) / 手取フィッシュランド	POV語(題名)	https://www.youtube.com/watch?v=MSaUPgxeqoE
yhD88QyknFU	20260726	980	Winding Road Magazine	2026 Ford F-450 Platinum - POV Test Drive (Binaural Audio)	POV語(題名)	https://www.youtube.com/watch?v=yhD88QyknFU
XLDucGkwLho	20260726	1580	Just Drive POV	2026 GMC Hummer EV SUV POV drive	POV語(題名)	https://www.youtube.com/watch?v=XLDucGkwLho
z38wvsT6POU	20260725	737	Winding Road Magazine	2027 Chrysler Pacifica Limited S AWD - POV Test Drive (Binaural Audio)	POV語(題名)	https://www.youtube.com/watch?v=z38wvsT6POU
ysOsxU4QzDY	20260725	1863	Thundyclaps	Maisara Caverns +21 Prot Warrior POV	POV語(題名)	https://www.youtube.com/watch?v=ysOsxU4QzDY
5I2BPcWwIj8	20260725	1349	LIM-CS POV	🔥kyousuke (22-11) 1.59 Rating | avg 3.9K ELO | Mirage POV | Jul 24, 2026	POV語(題名)	https://www.youtube.com/watch?v=5I2BPcWwIj8
xpoHTKeyza4	20260724	731	Winding Road Magazine	2027 Infiniti QX65 Autograph - POV Test Drive (Binaural Audio)	POV語(題名)	https://www.youtube.com/watch?v=xpoHTKeyza4
_yIMoJu6THY	20260723	762	Winding Road Magazine	2027 Chevrolet Bolt RS - POV Test Drive (Binaural Audio)	POV語(題名)	https://www.youtube.com/watch?v=_yIMoJu6THY
opU37eU-zPs	20260723	2781	NA	Can Troopers Bounce Back?! 👀 |  @TrottahCS   POV	POV語(題名)	https://www.youtube.com/watch?v=opU37eU-zPs
XUbrtrtzsVU	20260722	1200	【公式】ジェットコースター男™ (Roller Coaster Man)	日本一乗り心地が悪い名物アトラクション！ カーレーター & ロープウェイ on-ride POV (乗車映像) / 須磨浦山上遊園	POV語(題名)	https://www.youtube.com/watch?v=XUbrtrtzsVU
ZqQPbprDd_o	20260722	933	Winding Road Magazine	2026 Ford F-450 Platinum - POV Night Drive (Binaural Audio)	POV語(題名)	https://www.youtube.com/watch?v=ZqQPbprDd_o
vsSLWesXXuQ	20260722	351	TheTopher	2025 Subaru WRX tS - POV Quick Track Driving Impressions (Road America)	POV語(題名)	https://www.youtube.com/watch?v=vsSLWesXXuQ
xaemaOMVARc	20260722	2168	LIM-CS POV	🔥TeSeS (36-24) 1.32 Rating | avg 2.9K ELO | Cache POV | Jul 14, 2026	POV語(題名)	https://www.youtube.com/watch?v=xaemaOMVARc
eYbeitZxPDw	20260721	1456	Just Drive POV	2026 BMW XM Label POV night drive	POV語(題名)	https://www.youtube.com/watch?v=eYbeitZxPDw
M_9kIy_kx6Y	20260721	1324	DM Car Reviews	2021 Subaru WRX STI - POV Test Drive	POV語(題名)	https://www.youtube.com/watch?v=M_9kIy_kx6Y
lqbtZMXGTxM	20260720	369	【公式】ジェットコースター男™ (Roller Coaster Man)	Crazy Spinning Coaster 『疯狂自旋过山车』on-ride POV (乗車映像) / Xinghai Park (中国)	POV語(題名)	https://www.youtube.com/watch?v=lqbtZMXGTxM
nwcnmWYX2cc	20260720	1848	Thundyclaps	Algeth'ar Academy +21 Prot Warrior POV	POV語(題名)	https://www.youtube.com/watch?v=nwcnmWYX2cc
VVkIpRWNwX0	20260720	1540	Cyn	+15 Murder Row | Mistweaver Monk PoV (12.1 PTR)	POV語(題名)	https://www.youtube.com/watch?v=VVkIpRWNwX0
HQZsmU_pzsI	20260719	1621	Thundyclaps	Skyreach +21 Prot Warrior POV	POV語(題名)	https://www.youtube.com/watch?v=HQZsmU_pzsI
baVzp1q5jeY	20260719	1947	Thundyclaps	Windrunner Spire +21 Prot Warrior POV	POV語(題名)	https://www.youtube.com/watch?v=baVzp1q5jeY
4aatjcrxEsA	20260719	928	Surfing With Noz	SURFING ONE OF AUSTRALIA’S BEST POINT BREAKS! (RAW POV)	POV語(題名)	https://www.youtube.com/watch?v=4aatjcrxEsA
yD8Z7nSUhYE	20260719	1761	SackOfTheSouth	MythicPlus | +20 Algeth'ar Academy | Arms Warrior POV (99% key parse)	POV語(題名)	https://www.youtube.com/watch?v=yD8Z7nSUhYE
2o9eOq5ULT8	20260719	648	NoSpeedLimitGermany	BMW M140i *MANUAL* STAGE 2 | 450 PS | Top Speed Drive German Autobahn No Speed Limit POV	POV語(題名)	https://www.youtube.com/watch?v=2o9eOq5ULT8
pg0lYtkAvOA	20260719	1693	Just Drive POV	2026 BYD Sealion 6 DM-i POV drive	POV語(題名)	https://www.youtube.com/watch?v=pg0lYtkAvOA
zaR_BbK3O30	20260718	520	【公式】ジェットコースター男™ (Roller Coaster Man)	Spinning Roller Coaster 『自旋过山车』 on-ride POV (乗車映像) / Xinghai Bay Amusement Park (中国)	POV語(題名)	https://www.youtube.com/watch?v=zaR_BbK3O30
g4jUSxyxKJ8	20260718	1916	Thundyclaps	Magisters' Terrace +21 Prot Warrior POV	POV語(題名)	https://www.youtube.com/watch?v=g4jUSxyxKJ8
Cevq4J-tFxQ	20260718	532	Baconstrip	MusicCityKartplex GoPro Footage #1	POV語(題名)	https://www.youtube.com/watch?v=Cevq4J-tFxQ
JUNyaQA0G9s	20260717	480	【公式】ジェットコースター男™ (Roller Coaster Man)	Roller Coaster 『过山车』 on-ride POV (乗車映像) / Dalian Forest Zoo (中国)	POV語(題名)	https://www.youtube.com/watch?v=JUNyaQA0G9s
8xGHV14h_20	20260717	1698	TheTopher	2026 Aston Martin Vantage S Roadster - POV First Driving Impressions	POV語(題名)	https://www.youtube.com/watch?v=8xGHV14h_20
-ao20MXFD_U	20260717	1879	Just Drive POV	2026 Hyundai IONIQ9 AWD Black Ink POV night drive	POV語(題名)	https://www.youtube.com/watch?v=-ao20MXFD_U
IBNcm-IIA6Q	20260716	2002	Puupi	+21 Magisters' Terrace Mistweaver Monk POV	POV語(題名)	https://www.youtube.com/watch?v=IBNcm-IIA6Q
Bf8dKhLJYlo	20260716	3303	NA	Can the TROOPERS keep their WIN-STREAK?! | @TrottahCS POV	POV語(題名)	https://www.youtube.com/watch?v=Bf8dKhLJYlo
9FrbANiyFy4	20260715	376	TheTopher	2027 Ram 1500 TRX SRT - POV Baja Driving Impressions	POV語(題名)	https://www.youtube.com/watch?v=9FrbANiyFy4
OOI0nyIFMTk	20260714	410	【公式】ジェットコースター男™ (Roller Coaster Man)	Viking 『海盗船』 on-ride POV (乗車映像) / Discoveryland (中国)	POV語(題名)	https://www.youtube.com/watch?v=OOI0nyIFMTk
L61XvSM6Ot4	20260714	530	Matthias Lebo	GoPro Mission 1 Pro vs. Insta360 Ace Pro 2 vs. DJI Osmo Action 6 with sample UW comparison footage	POV語(題名)	https://www.youtube.com/watch?v=L61XvSM6Ot4
W6yt0gqQk5M	20260713	1476	Thundyclaps	Skyreach +20 Prot Warrior POV	POV語(題名)	https://www.youtube.com/watch?v=W6yt0gqQk5M
PMXeA95SuJY	20260713	1694	Thundyclaps	Nexus Point Xenas +20 Prot Warrior POV	POV語(題名)	https://www.youtube.com/watch?v=PMXeA95SuJY
tWuEj21Je2k	20260713	926	LIM-CS POV	🔥kyousuke first game after Major vs jabbi | avg 3.3K ELO | Mirage POV | Jul 13, 2026	POV語(題名)	https://www.youtube.com/watch?v=tWuEj21Je2k
5RrH2hsDRj8	20260712	1086	TUBERIDES	America's CRAZIEST Water Park! Mountain Creek | All Waterslides POV	POV語(題名)	https://www.youtube.com/watch?v=5RrH2hsDRj8
tKNeKF5Z218	20260712	1501	Just Drive POV	2026 BMW XM Label POV drive	POV語(題名)	https://www.youtube.com/watch?v=tKNeKF5Z218
xyRCc6hX7vM	20260712	1136	DM Car Reviews	2026 Volvo XC40 B5 AWD - POV Test Drive	POV語(題名)	https://www.youtube.com/watch?v=xyRCc6hX7vM
kWw0l4PTR0o	20260711	1986	Thundyclaps	Algeth'ar Academy +20 Prot Warrior POV	POV語(題名)	https://www.youtube.com/watch?v=kWw0l4PTR0o
D6ck_aNdx6c	20260709	1907	Puupi	+20 Seat of the Triumvirate Mistweaver Monk POV	POV語(題名)	https://www.youtube.com/watch?v=D6ck_aNdx6c
VN0AaJXgsxY	20260708	1900	Stove	+24 Seat Of Triumvirate | Devourer POV | MASSIVE Damage	POV語(題名)	https://www.youtube.com/watch?v=VN0AaJXgsxY
0AomDc23oAY	20260708	1923	Raeyla	+23 Windrunner's Spire | Assa Rogue POV | Midnight S1	POV語(題名)	https://www.youtube.com/watch?v=0AomDc23oAY
yq8S6RWo49U	20260708	1212	LIM-CS POV	5210ELO😱donk (29-17) w/baz | avg 3.7K ELO Lobby | Ancient POV | Jul 8, 2026	POV語(題名)	https://www.youtube.com/watch?v=yq8S6RWo49U
