video_id	尺秒	チャンネル	題名
gkdSPrhukL8	848	Gentry Walker	"2016 Genesis Finals Baritone Cam ""Hell Hath No Fury"""
gZ3LpF2kymY	759	Gentry Walker	"2016 Genesis baritone cam ""Hell Hath No Fury"""
N00Q1APU-Do	853	jg95b	2016 Music City 3rd Trumpet Cam - Finals Week GoPro Run
qvNza63V3yQ	744	Rydland Productions	2016 Phantom Regiment Guard Cam: Genevieve Gahagan (60fps)
lotIfgzuFts	749	Rydland Productions	2016 Phantom Regiment Lead Trumpet Cam (Picc soloist): Eric Matthews
WRPyYBUdfxs	738	Rydland Productions	2016 Phantom Regiment Marimba Cam: Christian Perez (60FPS)
Q58KkT3uHeU	780	Dakine Drums	2017 Blue Devils - DCI Championship Encore Tenor Cam
t58zFyODLlw	753	ThatWasLoud	2017 Blue Devils Center Marimba Cam [2K]
Q7AZEZpYGdU	815	Michael Sowell	2017 Blue Devils Trumpet/Flugelhorn Headcam [4K]
gy6KQCFrh9M	781	Mr. Williams Music	"2017 Blue Knights ""i"" Drum Set Cam"
eOYwNB3v53A	952	Mr. Williams Music	"2017 Blue Knights ""i"" Lead Mello Cam"
apGx1ikCgUw	876	Mr. Williams Music	"2017 Blue Knights ""i"" Low Split Tuba Cam"
3k66V0r27Jw	1016	Mr. Williams Music	"2017 Blue Knights ""i"" SOLO Baritone Cam"
xcd8LoS4jT4	846	Mr. Williams Music	"2017 Blue Knights ""i"" SOLO Snare Cam"
J6xpWITnMGU	768	Kersting Compositions	2017 Blue Stars Lead Trumpet POV - James Kersting
ZwrQf0qZg5g	798	Kersting Compositions	2017 Blue Stars Trumpet Soloist POV - Brendan Korak
oHZ5pz2ZsEY	548	Vic Firth Marching	2017 CADETS FINALS WEEK SNARE CAM
kOjkI1j7YMo	566	Trumpet 6	2017 King Philip Marching Band Show Trumpet Cam
8uTYpquciAI	855	Stone Wang	2017 Santa Clara Vanguard Mello Soloist/Rolling Stone Headcam
b21sP1BtQ6I	738	Rydland Productions	2017 Santa Clara Vanguard Quad Cam
xAW5V4XLCoM	746	Nancy Fleming	2017 TroopersContra GoPro run
w9m2PY81YqA	1814	Belle-raphon	2018 1021 2018楽器フェア東京ビックサイト屋内GoPro 京都橘高等学校吹奏楽部
1vSw5qbvI5s	767	Mike Do	2018 Blue Devils Lead Euphonium“Dreams and Nighthawks” Finals Week GoPro Cam
OjtMmvLA960	702	Aiden Gonzalez	2018 Crossmen Lead Baritone GoPro Run (Finals Day)
y4Vpr3mQvtw	775	Brock Playz	2018 MCDC Colorguard gopro
lHx4GZ9zK84	685	Brock Playz	2018 Music City Color Guard head cam (finals week) Sammy Lawson
rFiSYwYT-Vw	778	Stone Wang	"2018 Santa Clara Vanguard ""Babylon"" Mellophone Head Cam HD"
0sq02CKBG1g	622	Ken McGlauchlen	2018 Seattle Cascades   Tristan McGlauchlen   360 snare cam
ruynnAjYV20	756	Hunter | Vibes Enthusiast	2018 | Mandarins GoPro | Hunter
2u_HeM6Ud8Q	793	Daniel Belcher	2019 Blue Knights Finals Day Run Through Drum Major Cam
PnanBkmLS_o	882	Nicholas Kneupper	2019 Bluecoats - French Horn Soloist/Lead Mellophone GoPro Head Cam
GgmHNMPeJhE	911	DanielT	2019 Boston Crusaders - Goliath - Trumpet/Herald Cam
BXcmSS47rFM	881	Riley Matties	2019 Cadets - Solo/Lead Baritone Head Cam - Riley Matties
VuSw2F9KtRw	1056	Jonathan Martinez	2019 Carolina Crown Lead Trumpet GoPro Run
lAeW1aGoviE	600	Nancy Fleming	2019 Carolina Crown Tuba GoPro pt 1
oMrynr5AXPU	594	Nancy Fleming	2019 Carolina Crown Tuba GoPro pt 2
mrRxQCBzm-c	1530	Carson Brooke	2019 MADISON SCOUTS LEAD MELLOPHONE CAM
f7d8fhWcZHI	832	Gian Campanon	2019 Spirit of Atlanta Lead Trumpet/ Soloist Cam - Gian Campanon
fKNTYjvKVAA	592	OBBCchannel	2019 大濠高校 マーチング 【 UNBA∠ANCE 】 Prop Cam
3VpPvG2XBIY	614	ピンポンパ―ル	2019.10.27  【GOPRO撮影】甲西高等学校吹奏楽部 ♪パレード♪ クサツハロウィン2019【4K】
p8Z226kb97Y	720	ピンポンパ―ル	2019.11.10 【GOPRO撮影】京都橘高等学校吹奏楽部(Kyoto Tachibana S.H.S. Band) 長岡京ガラシャ祭り2019 ♪パレード♪【4K】
_UE-6XckWgk	1385	Tsubame Planning（吹奏楽・マーチングチャンネル）	2019.11.10 京都橘高等学校吹奏楽部／＜Gopro撮影バージョン＞長岡京ガラシャ祭2019
p66rqOIZAWk	677	ピンポンパ―ル	2019.8.18 東邦高校吹奏楽部  広小路夏まつりパレード2019(Gopro版)
AaL9hcF2J88	886	Colton Gibson	"2021 Boston Crusaders ""Zoom"" Contra GoPro Run-Colton Gibson"
lzqJKSM3zLs	647	Hayden Schott	2021 Spirit of Atlanta 3rd Trumpet Headcam
mg-IJhJpcSs	658	JSB II	2021 Troopers Snare Cam
IVkc0dvmi1Q	3420	Tsubame Planning（吹奏楽・マーチングチャンネル）	2021.07.18 北海道札幌国際情報高等学校吹奏楽部 「Uptown Funk!」「恋」「うれしい！たのしい！大好き！」他／千歳アウトレットモール・レラ 演奏会（Gopro撮影）
uqunbrcN4GM	776	Evan Stoddard	2022 Cadets- Baritone Soloist GoPro Cam
Mi_qAY0pxhg	932	Patrick Vigus	2022 Cavaliers Lead Mello GoPro - Patrick Vigus
Pv691sNuEOI	763	naozumi	2022 Mandarins 3rd Mellophone Headcam | Vincent Bui
VkjqEbplavc	1068	Ryan McAlindin	2022 Troopers Euphonium Headcam: Ryan McAlindin
H_EDa-J1F9Y	842	Tsubame Planning（吹奏楽・マーチングチャンネル）	2022.05.04 精華女子高等学校吹奏楽部／博多どんたく港まつり（2日目）パレード（Goproバージョン）（博多どんたく2022）
3lV5yjG8yvk	808	JJ	2023 Colts Color Guard Head-Cam Jake Jennings (mid season)
yVBxFto6MwA	686	Garrett Sharp	2023 Crossmen Contra/Bass Bone Cam | No Prop Run - Garrett Sharp
ZZumD9xw8jE	348	BandDirectorPilot	2023 INDY Troopers Legacy Corps Experience via GoPro | DCI CHAMPIONSHIPS | TROOPERS
iK__1RGTvJE	860	Grillen	2023 Phantom Regiment “Exogenesis” Mellophone Cam - Greilynn Bergonio
-59yMzWRLro	551	Nicholas Goldfarb	2023 UGA Redcoat Marching Band - Baritone Cam (UAB Halftime)
E6G-Fm8MEM8	1035	Tsubame Planning（吹奏楽・マーチングチャンネル）	2023.05.04 精華女子高等学校吹奏楽部／【Goproバージョン】第62回博多どんたく港まつり 花のマーチングパレード
Np9KByXpm4c	1266	Tsubame Planning（吹奏楽・マーチングチャンネル）	2023.07.25 大阪府立桜和・南・西・扇町総合高等学校吹奏楽部 OHGIES／大阪天満宮「天神祭」パレード（Gopro撮影バージョン）
qF7ZywG9ShQ	2049	Tsubame Planning（吹奏楽・マーチングチャンネル）	2023.10.01 東海大学吹奏楽研究会／第56回伊勢原観光道灌まつり（Goproバージョン）
47EPSJ9XCpA	1020	Tsubame Planning（吹奏楽・マーチングチャンネル）	2023.10.29 島根県立出雲商業高等学校吹奏楽部／出雲ドーム かみあり吹奏楽フェスタ2023 プレイベント ゆめタウン出雲 店内パレード＜Gopro撮影＞
TX-yy1xk_GE	640	Tsubame Planning（吹奏楽・マーチングチャンネル）	2023.11.03 島根県立出雲商業高等学校吹奏楽部／「灯台ワールドサミットin 出雲」開催記念パレード（Gopro バージョン）
6bQ70Q3rUfo	708	Keegan Leach	2024 Jersey Surf Lead Baritone Headcam - Keegan Leach
06jbV5ispK0	701	Hamdog	2024 Mello Chest cam - First Person AND Third Person POV - Spirit Of Atlanta
sdM4gL6qjmQ	680	Daniel Hoover	2024 SEATTLE CASCADES LEAD(screamer) BARI HEADCAM
4W6Jft2owzs	411	Tsubame Planning（吹奏楽・マーチングチャンネル）	2024.03.30 島根県立出雲商業高等学校吹奏楽部／サンロードなかまち  ひなめぐり2024（Goproバージョン）
3id5ZYkRDLE	1311	Tsubame Planning（吹奏楽・マーチングチャンネル）	2024.05.12 八王子学園八王子高等学校吹奏楽部／第3回八王子よこやま南マーチングフェスティバル（Gopro撮影バージョン）
csGAznWwMio	1298	Tsubame Planning（吹奏楽・マーチングチャンネル）	2024.08.17 習志野市立習志野高等学校吹奏楽部／富士河口湖音楽祭2024 パレード（Gopro映像）
GUy-o_m1g7E	2909	Tsubame Planning（吹奏楽・マーチングチャンネル）	2024.09.28 東海大学吹奏楽研究会／第77回秦野たばこ祭（Gopro映像）
x_1UH65KdQM	850	Darren Johnson	"2025 Blue Stars ""Spectator Sport"" Ageout Headcam - Darren Johnson, 2nd Trumpet"
FJ33cVq8iRc	656	MrPanda	2025 Pacific Crest Marimba Headcam- Mikey Arabian
gGxX6GIQglU	735	Mason Webb	2025 Phantom Regiment Drumset Headcam - Mason Webb
6FSnWAEqslA	836	Sebastian	"2025 Santa Clara Vanguard ""The aVANt GUARD"" Baritone Head Cam"
EIvFtzBuJe0	3430	Tsubame Planning（吹奏楽・マーチングチャンネル）	2025.02.11 東海大学吹奏楽研究会／建国記念の日 奉祝パレード２０２５（Gopro版）
sDHhrYKp0rk	1183	Tsubame Planning（吹奏楽・マーチングチャンネル）	2025.06.13 北海道旭川商業高等学校吹奏楽部／幻の「北海道音楽大行進」（Gopro版）
zhCMWswJ7Vc	600	Lukin Siebert	8/8/24 - DCI World Prelims - River City Rhythm - Baritone POV - MINE! - Audio from an iPod Nano
BtLhQAGzwB0	615	Kaden O	ASU Sun Devil Marching Band 2nd Person POV
r1_HiOjYEPw	344	itiscraig	Adventure Training with the Army Cadets force : GoPro
lZ9THQKysDw	932	mjcabooseman	Alex Graf Go Pro Run: Pacific Crest 2014 No Strings Attached
-flFsOz8xkE	570	Andy Nguyen	Anoka Marching Tornadoes 2022 - Color Guard Cam - Erin Schommer
JaCs6LwTudw	585	Andy Nguyen	Anoka Marching Tornadoes 2022 - Trumpet Cam - Marcus Hovan
PrL6r0TF_z0	521	Andy Nguyen	Anoka Marching Tornadoes 2022 - Tuba Cam - Calvin Takkunen
yavgOIOJHDI	688	Jorge Veksler	"Austin Mccool Crossmen 2017 ""Enigma"" Tuba Gopro cam"
HOq7-n0VkFM	640	Ryan Mack	BEST New Jersey SURF IN YEARS - RAW GOPRO 11/12/22
VuquOMMbBkc	653	Vic Firth Marching	BLUE KNIGHTS 2016 - Finals Week TENOR CAM RUN-THROUGH
-bb2R0RVN-E	717	Finals Sync Archive	BLUECOATS 2016 - Down Side Up | Fully Synced Drumline POV Experience
v2fc7Oou9BI	847	Matt Tice	"BLUECOATS 2021 ""Lucy"" Lead Trumpet Headcam | Matt Tice"
SgedroSXkvs	784	Nikolai Coletta	BLUECOATS 2022 CENTER MARIMBA HEADCAM || Riffs & Revelations
P-TUfFZMQU0	861	Ryan Jacobs	BLUECOATS 2022 KEYTAR SOLIOIST HEADCAM
mw4vev0kPcQ	918	Robert Fairless	BLUECOATS 2024 | DYMAXION BEBOP SOLOIST | LEAD TRUMPET HEADCAM
mFBbEyyK5IA	957	Omar Hinogiante	BOOM Rehearsal Colorguard Cam - Omar Hinogiante
j-omzrisMw0	936	Ben Ward	Ben Ward Euph 2/2nd Trombone Headcam Pacific Crest 2023 “Goddess”
i9dHb6b2wQU	619	Benjamin Cervantes	Benjamin Cervantes | Genesis 2017 FINALS WEEK Snare (iPhone) Cam
zb9t-HoM2Ig	674	Benjamin Cervantes	Benjamin Cervantes | Genesis 2018 FINALS WEEK Snare (iPhone) Cam
1OxXJHliN8I	563	Flashpoint	Between The Lines | 2021 Madison Scouts Cymbal Line | Full Run POV
EkBwlStYhL8	430	Bigfatdane	Bleeding Mandarins VS  M Vaelgor & Ezzorak  BrM PoV
Rwxx4R9v5Sc	515	Bigfatdane	Bleeding Mandarins VS L'ura/Midnight falls BrM PoV
W1s6N-uRxk8	890	Kale K	Blue Devils 2015 GoPro (Semis Rehearsal)
rMuxy9ImOcs	843	Victor Tran	Blue Devils 2016 - Trombone/Euphonium GoPro Run | Victor Tran
PXhb3YKwFE0	774	Funliner Productions	Blue Devils 2016 // Finals Day // Trumpet Head Cam
i_7rMSnMBIk	720	Miles Kenobbie	Blue Devils 2016 Quad Cam - Miles Kenobbie
-VGRs3eQntE	862	Sim	"Blue Devils 2017 ""Metamorph"" Victory Run Snare Cam | Joseph Grippo"
DHoVXJe-MXY	823	Funliner Productions	Blue Devils 2017 - METAMORPH - Xylo/Glock/Rocar Head Cam - Michael Tran
8uKtL4iufUE	789	Funliner Productions	Blue Devils 2017 -METAMORPH - Drum Major Head Cam - CC Wagoner
NX6qQNZ1AGo	796	Funliner Productions	Blue Devils 2017 -METAMORPH - Finals Day - Snare Head Cam - Jay Reddicks
RM18LYkBxNU	763	Funliner Productions	Blue Devils 2017 -METAMORPH - Marimba Head Cam - Masato Kobayashi
-w3wUKwM_Jw	811	Everett Kim	Blue Devils 2017 -METAMORPH - Trumpet Head Cam - Victory Run - Everett Kim - HD
vcnuKvTGmUE	773	Mike Do	Blue Devils 2017 FINALS WEEK METAMORPH Euphonium/Trombone Cam - Mike Do
ZgRPaKceeDM	776	ThatWasLoud	Blue Devils 2017 Flugelhorn Cam
F__QIn_nSpY	747	Ivan Cordova	Blue Devils 2017 Lead Euphonium Cam: Ivan Cordova
gWQFysFLFWs	741	Davis Smith	Blue Devils 2017 Lead Trumpet GoPro POV
9NY19YpHXP0	748	Funliner Productions	Blue Devils 2017 METAMORPH - Color Guard Head Cam - Anthony Velez
ddvhba4YazE	735	Miles Kenobbie	Blue Devils 2017 Snare Cam  - Ryan Ellis
5cV4FQ8AfW4	772	Miles Kenobbie	Blue Devils 2017 Snare/Quad Cam - Miles Kenobbie
fTVJwS8aND4	785	Tyler Wilson	Blue Devils 2017 Victory Run - Euphonium Headcam - Tyler Wilson
q08vNO-GvJ4	418	FloMarching	Blue Devils 2017 Victory Snare Cam: Sean Clark
S0E4R0GTrxE	796	Funliner Productions	Blue Devils 2018 - Drum Set Head Cam - ZACH HUDSON
DV9IP-gfKG4	774	Funliner Productions	Blue Devils 2018 - Lead Trumpet Head Cam - ANGELO LABERINTO
ifC5YF-aGzk	826	Funliner Productions	Blue Devils 2018 - Mellophone Head Cam - GRACIE BOUDREAU
HxrNuZaXKWc	802	Funliner Productions	Blue Devils 2018 - Snare Head Cam - BRANDON OLANDER
lhzW4HWb52w	753	Funliner Productions	Blue Devils 2018 - Tenor Head Cam - WILLIAM MITSUK
U6sLgrKTtvg	822	Funliner Productions	Blue Devils 2018 - Trumpet Soloist Head Cam - ERIC MATTHEWS
rCrocQ1oF-Q	964	Joey Alegre	Blue Devils 2018 Lead Trumpet/Soloist Headcam - Joey Alegre
BNr6otzZGs4	336	Funliner Productions	Blue Devils 2018 Opener - Marimba Head Cam - NICK SODEN
mIPb8B_foKI	768	Funliner Productions	Blue Devils 2019 - Center Snare Head Cam - BRANDON OLANDER
YxjKxHiipdI	772	Funliner Productions	Blue Devils 2019 - Drumset Head Cam - MICHAEL DY
GeMKzjximKY	756	Funliner Productions	Blue Devils 2019 - Head Drum Major (Chest Cam) - EVERETT KIM
DbCBSmnePy8	739	Funliner Productions	Blue Devils 2019 - Tenor Head Cam - ELIJAH JONES
nL_utkzRDM8	738	Funliner Productions	Blue Devils 2019 - Xylo/Glock Head Cam - MICHAEL TRAN
usB4kYB2nN8	800	Funliner Productions	Blue Devils 2019 Snare Headcam | Ghostlight | Encore Run
Fhf-J2Wkxi4	787	Funliner Productions	Blue Devils 2019 Trumpet/Flugel Headcam | Ghostlight | Encore Run
8uGEGXs587M	733	Michael McEvoy	Blue Devils 2019 tuba head cam Victory Run
5Orpw_VlwkY	770	Funliner Productions	Blue Devils 2019 | Ghostlight | Encore Run | Lead Trumpet Soloist Headcam | Angelo Laberinto
KTiC7JQ101Y	790	Funliner Productions	Blue Devils 2019 | Ghostlight | Lead Trumpet Soloist Headcam | Malik Neille
OXSCvUn58kw	762	Funliner Productions	Blue Devils 2019 | Podium Cam | EVERETT KIM
DeJxIQiWHW0	783	Chris Nott	Blue Devils 2022 - TEMPUS BLUE - Xylo/Glock Head Cam - Chris Nott
Ci11O5LsAt4	828	Adam Zapf	Blue Devils 2022 LEAD TRUMPET SOLOIST CAM - Adam Zapf
L__TnKplI8I	875	Alex Gifford	Blue Devils 2022 TRUMPET/FLUGELHORN SOLOIST Headcam - Alex Gifford
hlIHWYGH2sk	772	Gabriel Michels	Blue Devils 2022 Tenor Cam: Victory Run
zwZTntG3aL0	781	Anne Turner	Blue Devils 2022 Victory Run - Bass One Head Cam- Anne Turner
wn1u8GrGhZM	940	Marching Vlogs	Blue Devils 2022 Victory Run Snare Cam - Laurent Chang
v0Nnmg6scPg	767	BrandonL	Blue Devils 2023 LEAD TRUMPET Headcam - Brandon Luk
dFB2GoQbMf8	763	Lucas Vai	Blue Devils 2023 Lead Mellophone Lucas Williams Headcam - THE CUT OUTS
nFpZv5tbhls	809	BrandonL	"Blue Devils 2024 ""The Romantics"" - FLUGELHORN SOLOIST CAM - Fredo Orozco"
YXw6Cv2Oayc	910	BrandonL	"Blue Devils 2024 ""The Romantics"" - LEAD TRUMPET HEADCAM - Brandon Luk"
w7ZHkpG_tYo	781	Michael Mencarini	"Blue Devils 2024 ""The Romantics"" Lead Euphonium Headcam - Michael Mencarini"
oKIEa2ZSzB8	834	Isaac Brusse	Blue Devils 2025 Snare Headcam - Isaac Brusse
Alrr0ITYUTI	551	Sam LaSalle	Blue Devils B 2019 2nd Trumpet Headcam - Sam LaSalle
awxBA9yA770	619	Ska Shack	"Blue Devils B 2024 ""Sacred Geometry"" Trumpet Cam"
U56e7NhQk5s	745	Izzy Jr.	Blue Devils Marimba Cam | 2019 Prelims Rehearsal
_BadOHXWINU	343	DrumCorpsFilms	Blue Devils POV Performance
5F0lhnLoPeU	750	Riley Baisch	Blue Knights 2014 - Trumpet 3 POV
uIomONeoqto	798	Zach Borromeo	Blue Knights 2014 Battery Cam Finals Day
U7OW40HVL68	852	SammyEA	Blue Knights 2014 Tuba Cam
mYarN8raAAY	702	Riley Baisch	Blue Knights 2015 - Mellophone 2 POV
Qk8f-FOFllg	978	SammyEA	Blue Knights 2015 Finals Tuba Cam
EZnvZaLKX7s	732	Riley Baisch	Blue Knights 2016 - Trumpet 3 POV
ET1TBywQHo4	930	Lane Allbee	Blue Knights 2016 Tuba POV
4FJFtlVAWW8	785	Jacob Bradford	Blue Knights 2018 | TROMBONE SOLOIST HEADCAM | Brandon Rios
IY7_dF9JmQ8	826	Brian Dong	Blue Knights 2019 Euphonium Cam - Brian Dong
-mZTVUBUDho	879	Davin Cai	Blue Knights 2019 Marimba Cam - Davin Cai
3vArlDKtWsY	808	Colin Roberts	Blue Knights 2019 Tuba Headcam
cCs3WVDxhTI	660	Don't Worry About Me	"Blue Knights 2021 ""Always"" Colorguard Cam - Brandon Anthony"
6OHkotcmgZM	803	kyle recker	"Blue Knights 2021 ""Always"" Tuba Cam - Kyle Recker"
3xm3_ORV76U	802	kyle recker	"Blue Knights 2021 ""Always"" Tuba Cam - Thomas Keeter"
u2msBh21GxU	827	Alan Torres	Blue Knights 2021 Colorguard Cam | Alan Torres
IZ_hrJvO05s	778	Sam Call	Blue Knights 2021 Euph Headcam - Sam Call
ApJZWuATMLM	685	Sam LaSalle	Blue Knights 2021 Trumpet Headcam | Sam LaSalle
ZV1mo8KIIHw	700	Eric Day	"Blue Knights 2022 ""VIBE"" Marimba Head Cam - Eric Day"
tyjbiKp0bGg	937	Don't Worry About Me	"Blue Knights 2022 ""Vibe"" Colorguard Cam - Brandon Anthony"
VSzg2-mbJBE	756	Tyler Detering	Blue Knights 2022 Euphonium Cam - Tyler Detering
a3DFHNGUAQQ	745	Joel Hodges	Blue Knights 2022 Lower Lower Split Lead Trumpet Headcam (ft. the Pueblo hornet)
SiIXuNlSjX0	718	くみちゃう	"Blue Knights 2023 ""Unharnessed"" Euphonium Cam-Yuta Hayashi"
K8Gz_FVLoGE	825	Michael Brown	Blue Knights 2023 - Unharnessed (Tuba Cam)
jQTNjQAZd5k	715	Joel Hodges	Blue Knights 2023 Solo 2nd Trumpet Headcam
je9Vlqot1f4	807	cristian martinez	Blue Knights 2023 UNHARNESSED Contra Cam Semi-finals run(Cristian Martinez)
gP5MHRcrXhk	724	KeenanGlimpseMusic	Blue Knights 2023 “Unharnessed” Tuba Cam
qQwzsJIFpwY	684	Goats Coats	Blue Knights 2024 | BUSK | Xylo Head Cam | Scotty Jeep
67FkcD7MLhw	758	Hogan Akin	Blue Knights 2025 Lead Euphonium Cam - Hogan Akin
R-fiOX6wS4g	424	Eric Day	"Blue Knights Percussion Ensemble 2022 ""Broken"" Marimba Head Cam - Eric Day"
kfuOfnzb6Gw	440	Eric Day	"Blue Knights Percussion Ensemble 2023 ""Memento Mori"" Marimba Head Cam - Eric Day"
1bBWszVNvGs	743	Mr. Williams Music	"Blue Stars 2015 ""Side Show"" 2nd Mellophone Cam"
U2uWbtfWdrY	747	Mr. Williams Music	"Blue Stars 2015 ""Side Show"" Drum Major Cam"
Z6U-NtxWXK4	1071	Mr. Williams Music	"Blue Stars 2015 ""Side Show"" Lead Mellophone Cam"
hJ-MMknuMXo	779	Bill Buckets	Blue Stars 2015 Finals Week Trumpet Go Pro Run
tARdDPNEhTk	975	Hunter Snow	Blue Stars 2017 Lead Baritone Cam -Hunter Snow
QtD6TjS1W6o	948	Hunter Snow	Blue Stars 2017 Tuba Cam -Stephen Mattson
h9wR1TwqYJw	750	Brenden Jones	Blue Stars 2018- Trumpet Headcam (Brenden Jones)
l1dKabmVA_c	750	Adam Germ	Blue Stars 2021 MELLO HEADCAM (Adam Germ)
IYSrCgldGVI	780	TheZacman2	Blue Stars 2021 Trumpet POV
bakm7KHH5Io	941	Ben Novak	Blue Stars 2022 Lead Baritone Head Cam (Ben Novak)
kOCdqK8M0KQ	802	Jay Hidrogo	Blue Stars 2022 Trumpet headcam
wKezIjR9yL8	901	Cody Carter	Blue Stars 2022 | Of War and Peace | Trumpet Headcam | Finals Day Run
A-Rs0lj-3eA	783	Devin Quads 	Blue Stars 2022 | Quad GoPro | Josh Stukenborg |
2eL7MRYxJhw	770	Chase Snoots	Blue Stars 2023 - Baritone I Bell-Cam (Chase Snoots)
Ae8-nvvVBkg	913	Arman Pathan	Blue Stars 2023 Baritone Cam - In Absintheia 🧚🏻
Hw8UTVNHfeA	874	とら	Blue Stars 2023 Tuba cam
vAWTgPnuwlQ	974	Cody Carter	Blue Stars 2023 | In Absinthia | Finals Week Trumpet Headcam
XxjYazdjr3c	847	Nate Perez	"Blue Stars 2024 ""Universal""  Lead Mellophone Headcam - Nate Perez"
b2Hdr0kgq5s	841	Chase Snoots	Blue Stars 2024 - Trombone Soloist Headcam (Chase Snoots)
FatKHIV4oV0	764	M.A.C Films	Blue Stars 2024 2nd Baritone Cam 07/22/24
76LlMpWUmH0	804	Brady Hughes	Blue Stars 2024 Baritone Headcam
pnnlN0O4Zhs	879	Cody Carter	Blue Stars 2024 | Universal | Trumpet Headcam
Sdn-HcwjTOI	767	Ambrose Barsch	Blue Stars 2024 “Universal” 2nd Trumpet headcam
E9I3evWYOWs	854	Dxyton.bsh_Trombone	"Blue Stars 2025 ""Spectator Sport"" Dayton Bush(Injured)/Bryan McCabe Dual Headcam"
SOMwsjr0bhE	1096	Brady Hughes	Blue Stars 2025 Baritone Headcam
8mNIfDWGadE	850	AKinney Mellophone	Blue Stars 2025 Lead Mello Headcam | Brass Sextet | Alex Kinney
n087dzNrKkw	887	Ben Ward	Blue Stars 2025 “Spectator Sport” Lead Baritone Headcam - Ben Ward
t1dbokf6IzM	789	Kashton Hansen	Blue Stars 2026 | Collection ‘26: The Galleries | Top-Split Lead Baritone Head Cam | (backflip fail)
MkTkY2VOLCo	911	Ska Tune Network	"Bluecoats ""jagged line"" GoPro run 8/5/17  Baritone/Trombone Soloist"
0sCGZFc20X4	732	Silent Command	Bluecoats 2016 Drum Major Head Cam (Samuel Crawford)
MTLo0iOwHmU	751	David Whitfield	Bluecoats 2016 Encore Run Tuba Headcam
Beqdana_WKU	789	Andrew C	Bluecoats 2016 Quad Cam - Finals - Mando Gaucin
20VPgoH4hOM	720	Sophie Witko	Bluecoats 2016 Tuba GoPro (Ryan Witko)
GM-OP0GDOak	798	Andrew C	Bluecoats 2016 victory run snare cam - Down Side Up - Matt Allen
TZAvAsoNJis	854	David Whitfield	Bluecoats 2017 | Tuba Headcam | David Whitfield | July 8th, 2017
2JUGyZGzlUE	1146	Hunter Snow	Bluecoats 2018 baritone/trombone cam -Hunter Snow
bcDDsiLggdI	833	rbass311	Bluecoats 2022 - Finals Day (Snare Cam)
dbNUkonJLkI	783	rbass311	Bluecoats 2022 - GoPro Tenor Cam (Jay Frias)
SzKwDT_HJJA	804	Davin Cai	Bluecoats 2022 Marimba Cam
NlWfvxGXQQA	864	matthew hahn	Bluecoats 2022 Trumpet Cam - Matt Hahn
